name,Mean 1000 Seed Weiht, ,URL
Abelia corymbosa Regel & Schmalh., 5.1132075,http://data.kew.org/sid/SidServlet?ID=46488&Num=x34
Abrophyllum ornans, 0.052,http://data.kew.org/sid/SidServlet?ID=52&Num=xwk
Abrotanella emarginata (Gaudich.) Cass., 0.1024,http://data.kew.org/sid/SidServlet?ID=58678&Num=eD3
Abrotanella forsteroides (Hook.f.) Benth., 0.3972,http://data.kew.org/sid/SidServlet?ID=58556&Num=ORZ
Abrotanella inconspicua Hook.f., 0.0467742,http://data.kew.org/sid/SidServlet?ID=58334&Num=xv1
Abrotanella nivigena (F.Muell.) F.Muell., 0.3406,http://data.kew.org/sid/SidServlet?ID=58519&Num=1I5
Abrotanella scapigera (F.Muell.) Benth., 0.5008,http://data.kew.org/sid/SidServlet?ID=59029&Num=4cq
Acamptopappus shockleyi A.Gray, 1.4016,http://data.kew.org/sid/SidServlet?ID=565&Num=x5p
Acamptopappus sphaerocephalus subsp. hirtellus, 1.23,http://data.kew.org/sid/SidServlet?ID=567&Num=KyD
Acamptopappus sphaerocephalus A.Gray, 1.3164,http://data.kew.org/sid/SidServlet?ID=566&Num=Q6e
Acanthocladium dockeri F.Muell., 0.3856,http://data.kew.org/sid/SidServlet?ID=41605&Num=58r
Acanthospermum australe (Loefl.) Kuntze, 10.5678,http://data.kew.org/sid/SidServlet?ID=574&Num=9TU
Acanthospermum hispidum DC., 7.4039,http://data.kew.org/sid/SidServlet?ID=575&Num=t05
Achillea aegyptiaca L., 0.1,http://data.kew.org/sid/SidServlet?ID=651&Num=pR5
Achillea ageratifolia (Sm.) Benth. & Hook.f. subsp. serbica (Nyman) Heimerl, 0.274,http://data.kew.org/sid/SidServlet?ID=46827&Num=Y29
Achillea ageratum L., 0.0912,http://data.kew.org/sid/SidServlet?ID=652&Num=9bJ
Achillea aleppica DC., 0.2176,http://data.kew.org/sid/SidServlet?ID=46828&Num=6cL
Achillea aspleniifolia Vent., 0.10776,http://data.kew.org/sid/SidServlet?ID=31662&Num=JCA
Achillea atrata L., 0.2424,http://data.kew.org/sid/SidServlet?ID=54431&Num=zNb
Achillea biebersteinii Afan., 0.12,http://data.kew.org/sid/SidServlet?ID=654&Num=2B1
Achillea biserrata M.Bieb., 0.4396,http://data.kew.org/sid/SidServlet?ID=46829&Num=N3V
Achillea clavennae L., 0.433,http://data.kew.org/sid/SidServlet?ID=31663&Num=xet
Achillea clusiana Tausch, 0.263,http://data.kew.org/sid/SidServlet?ID=41607&Num=HV6
Achillea clypeolata Sibth. & Sm., 0.1064,http://data.kew.org/sid/SidServlet?ID=655&Num=AIu
Achillea coarctata Poir., 0.066,http://data.kew.org/sid/SidServlet?ID=46830&Num=H8w
Achillea collina (Becker ex Rchb.f.) Heimerl, 0.143,http://data.kew.org/sid/SidServlet?ID=31664&Num=2K1
Achillea cretica L., 0.2224,http://data.kew.org/sid/SidServlet?ID=46831&Num=4Fd
